[20:54:05.485] === SYNC ANALYSIS LOG STARTED ===
Expected host send rate: 20Hz (50ms intervals)
Expected client interpolation rate: 30Hz (33ms intervals)
Format: [Time] Event: Details

[20:55:39.744] DATA_RX: Packet #970, Interval: 101,7ms, Jitter: 51,7ms
[20:55:40.417] PHYSICS: Frame #5400, Jitter: 40,4ms, Prediction: 100,0%
[20:55:40.593] DATA_RX: Packet #980, Interval: 96,2ms, Jitter: 46,2ms
[20:55:41.430] PHYSICS: Frame #5460, Jitter: 37,9ms, Prediction: 100,0%
[20:55:41.450] DATA_RX: Packet #990, Interval: 49,4ms, Jitter: -0,6ms
[20:55:42.343] DATA_RX: Packet #1000, Interval: 93,5ms, Jitter: 43,5ms
[20:55:42.454] PHYSICS: Frame #5520, Jitter: 36,8ms, Prediction: 100,0%
[20:55:43.188] DATA_RX: Packet #1010, Interval: 95,3ms, Jitter: 45,3ms
[20:55:43.479] PHYSICS: Frame #5580, Jitter: 38,2ms, Prediction: 100,0%
[20:55:44.099] DATA_RX: Packet #1020, Interval: 109,1ms, Jitter: 59,1ms
[20:55:44.485] PHYSICS: Frame #5640, Jitter: 40,1ms, Prediction: 100,0%
[20:55:44.986] DATA_RX: Packet #1030, Interval: 91,8ms, Jitter: 41,8ms
[20:55:45.512] PHYSICS: Frame #5700, Jitter: 40,1ms, Prediction: 100,0%
[20:55:45.992] DATA_RX: Packet #1040, Interval: 162,9ms, Jitter: 112,9ms
[20:55:46.545] PHYSICS: Frame #5760, Jitter: 48,1ms, Prediction: 100,0%
[20:55:47.265] DATA_RX: Packet #1050, Interval: 202,0ms, Jitter: 152,0ms
[20:55:47.566] PHYSICS: Frame #5820, Jitter: 67,1ms, Prediction: 100,0%
[20:55:48.185] DATA_RX: Packet #1060, Interval: 94,1ms, Jitter: 44,1ms
[20:55:48.579] PHYSICS: Frame #5880, Jitter: 60,9ms, Prediction: 100,0%
[20:55:49.136] DATA_RX: Packet #1070, Interval: 94,6ms, Jitter: 44,6ms
[20:55:49.599] PHYSICS: Frame #5940, Jitter: 39,7ms, Prediction: 100,0%
[20:55:49.989] DATA_RX: Packet #1080, Interval: 92,1ms, Jitter: 42,1ms
[20:55:50.627] PHYSICS: Frame #6000, Jitter: 40,6ms, Prediction: 100,0%
[20:55:50.850] DATA_RX: Packet #1090, Interval: 64,9ms, Jitter: 14,9ms
[20:55:51.648] PHYSICS: Frame #6060, Jitter: 37,7ms, Prediction: 100,0%
[20:55:51.742] DATA_RX: Packet #1100, Interval: 95,4ms, Jitter: 45,4ms
[20:55:52.644] DATA_RX: Packet #1110, Interval: 89,6ms, Jitter: 39,6ms
[20:55:52.671] PHYSICS: Frame #6120, Jitter: 39,7ms, Prediction: 100,0%
[20:55:53.497] DATA_RX: Packet #1120, Interval: 59,8ms, Jitter: 9,8ms
[20:55:53.685] PHYSICS: Frame #6180, Jitter: 37,6ms, Prediction: 100,0%
[20:55:54.398] DATA_RX: Packet #1130, Interval: 110,1ms, Jitter: 60,1ms
[20:55:54.705] PHYSICS: Frame #6240, Jitter: 37,8ms, Prediction: 100,0%
[20:55:55.284] DATA_RX: Packet #1140, Interval: 93,2ms, Jitter: 43,2ms
[20:55:55.737] PHYSICS: Frame #6300, Jitter: 37,1ms, Prediction: 100,0%
[20:55:56.142] DATA_RX: Packet #1150, Interval: 93,2ms, Jitter: 43,2ms
[20:55:56.743] PHYSICS: Frame #6360, Jitter: 39,4ms, Prediction: 100,0%
[20:55:56.997] DATA_RX: Packet #1160, Interval: 108,7ms, Jitter: 58,7ms
[20:55:57.764] PHYSICS: Frame #6420, Jitter: 35,7ms, Prediction: 100,0%
[20:55:57.954] DATA_RX: Packet #1170, Interval: 43,1ms, Jitter: -6,9ms
[20:55:58.783] PHYSICS: Frame #6480, Jitter: 49,7ms, Prediction: 100,0%
[20:55:58.991] DATA_RX: Packet #1180, Interval: 52,4ms, Jitter: 2,4ms
[20:55:59.556] === LOG ENDED - Total packets: 1183, Total interpolations: 6519 ===
